序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
149,QT_Return_switch,sendGetLocation,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「sendGetLocation」。,"parts[0]: 与 Qt 约定的下行关键字「sendGetLocation」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const lat = parts[1]; const lon = parts[2]; this.SendConsoleLogMsg('sendGetLocation: ' + lat + ',' + lon, 'info'); this.$bus.$emit('sendGetLocation', lat, lon); } break;",向下游抛出 $bus 事件: sendGetLocation,,QT_Return message 建议: sendGetLocation:...
150,QT_Return_switch,MainCameraCFA,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraCFA」。,parts[0]: 与 Qt 约定的下行关键字「MainCameraCFA」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { let value = parts[1]; if (value === '') { value = 'null'; } else if (value === 'GRBG') { value = 'GR'; } else if (value === 'GBRG') { value = 'GB'; } else if (value === 'BGGR') { value = 'BG'; } else if (value =...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: MainCameraCFA:...
151,QT_Return_switch,CameraNotIdle,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CameraNotIdle」。,"parts[0]: 与 Qt 约定的下行关键字「CameraNotIdle」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Camera is not idle', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",向下游抛出 $bus 事件: MountOperationComplete,,QT_Return message 建议: CameraNotIdle:...
152,QT_Return_switch,MainCameraNotConnect,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraNotConnect」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraNotConnect」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Main Camera is not connect', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",向下游抛出 $bus 事件: MountOperationComplete,,QT_Return message 建议: MainCameraNotConnect:...
153,QT_Return_switch,MountNotConnect,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MountNotConnect」。,"parts[0]: 与 Qt 约定的下行关键字「MountNotConnect」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Mount is not connect', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",向下游抛出 $bus 事件: MountOperationComplete,,QT_Return message 建议: MountNotConnect:...
154,QT_Return_switch,ServerInitSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ServerInitSuccess」。,"parts[0]: 与 Qt 约定的下行关键字「ServerInitSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Server init success', 'success'); window.location.reload(); break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: ServerInitSuccess:...
155,QT_Return_switch,PolarAlignmentState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PolarAlignmentState」。,"parts[0]: 与 Qt 约定的下行关键字「PolarAlignmentState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 5) { const isRunning = parts[1] == 'true'; const state = parts[2]; const message = parts[3]; const percentage = parts[4]; console.log('PolarAlignmentState: ', isRunning, state, message, percentage); this.$bus.$emit('...",向下游抛出 $bus 事件: PolarAlignmentIsRunning、PolarAlignmentState,,QT_Return message 建议: PolarAlignmentState:...
156,QT_Return_switch,PolarAlignmentAdjustmentGuideData,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PolarAlignmentAdjustmentGuideData」。,parts[0]: 与 Qt 约定的下行关键字「PolarAlignmentAdjustmentGuideData」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：新增：四个角点。 代码摘要：if (parts.length === 21) { // 从17改为21 const ra = parseFloat(parts[1]); const dec = parseFloat(parts[2]); // 新增：四个角点 const ra0 = parseFloat(parts[3]); const dec0 = parseFloat(parts[4]); const ra1 = parseFloat(parts[5]); const dec1 = parse...,向下游抛出 $bus 事件: FieldDataUpdate、updateCardInfo；新增：四个角点,,QT_Return message 建议: PolarAlignmentAdjustmentGuideData:...
157,QT_Return_switch,PolarAlignmentGuidanceStepProgress,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PolarAlignmentGuidanceStepProgress」。,"parts[0]: 与 Qt 约定的下行关键字「PolarAlignmentGuidanceStepProgress」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { const step = parseInt(parts[1]); const message = parts[2]; const starCount = parseInt(parts[3]); console.log('PolarAlignmentGuidanceStepProgress: ', step, message, starCount); this.$bus.$emit('PolarAlignmentGuid...",向下游抛出 $bus 事件: PolarAlignmentGuidanceStepProgress,,QT_Return message 建议: PolarAlignmentGuidanceStepProgress:...
158,QT_Return_switch,focusMoveFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「focusMoveFailed」。,"parts[0]: 与 Qt 约定的下行关键字「focusMoveFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.callShowMessageBox(message, 'error'); this.$bus.$emit('focusMoveFailed', message); } break;",向下游抛出 $bus 事件: focusMoveFailed,,QT_Return message 建议: focusMoveFailed:...
159,QT_Return_switch,MeridianETA_hms,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MeridianETA_hms」。,parts[0]: 与 Qt 约定的下行关键字「MeridianETA_hms」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：{ if (parts.length >= 4) { const h = parts[1]; const m = parts[2]; const s = parts[3]; const hms = `${h}:${m}:${s}`; const item = this.MountConfigItems.find(i => i.label === 'Flip ETA'); if (item) { item.value = hms; item.displayValue = ...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: MeridianETA_hms:...
160,QT_Return_switch,AutoFlip,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFlip」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFlip」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：TODO::自动翻转功能暂时关闭，需要时再打开。 代码摘要：if (parts.length >= 2) { // TODO::自动翻转功能暂时关闭，需要时再打开 console.log('当前AutoFlip命令未启用: ', parts[1]); break; const isAutoFlip = parts[1]; // 查找是否已存在 ""AutoFlip"" 项 let item = this.MountConfigItems.find(i => i.label === 'AutoFlip'); if (item) { /...",向下游抛出 $bus 事件: SetFlipMode；TODO::自动翻转功能暂时关闭，需要时再打开,,QT_Return message 建议: AutoFlip:...
161,QT_Return_switch,FlipStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FlipStatus」。,"parts[0]: 与 Qt 约定的下行关键字「FlipStatus」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：case 'MinutesPastMeridian':。 代码摘要：if (parts.length === 2) { if (this.$bus && this.$bus.$emit) { this.$bus.$emit('FlipStatus', parts[1]); } } break; // case 'MinutesPastMeridian': // if (parts.length >= 3) { // const EastMinutesPastMeridian = parts[1]; // const WestMinute...",向下游抛出 $bus 事件: FlipStatus；case 'MinutesPastMeridian':,,QT_Return message 建议: FlipStatus:...
162,QT_Return_switch,MinutesPastMeridian,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MinutesPastMeridian」。,parts[0]: 与 Qt 约定的下行关键字「MinutesPastMeridian」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: MinutesPastMeridian:...
163,QT_Return_switch,EastMinutesPastMeridian,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「EastMinutesPastMeridian」。,parts[0]: 与 Qt 约定的下行关键字「EastMinutesPastMeridian」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const EastMinutesPastMeridian = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'EastMinutesPastMeridian'); if (item) { item.value = EastMinutesPastMeridian; } else { this.MountConfigItems.push(...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: EastMinutesPastMeridian:...
164,QT_Return_switch,WestMinutesPastMeridian,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「WestMinutesPastMeridian」。,parts[0]: 与 Qt 约定的下行关键字「WestMinutesPastMeridian」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const WestMinutesPastMeridian = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'WestMinutesPastMeridian'); if (item) { item.value = WestMinutesPastMeridian; } else { this.MountConfigItems.push(...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: WestMinutesPastMeridian:...
165,QT_Return_switch,GotoThenSolve,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GotoThenSolve」。,parts[0]: 与 Qt 约定的下行关键字「GotoThenSolve」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const GotoThenSolve = parts[1]; let item = this.MountConfigItems.find(i => i.label === 'GotoThenSolve'); if (item) { item.value = GotoThenSolve; } } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: GotoThenSolve:...
166,QT_Return_switch,SolveCurrentPosition,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveCurrentPosition」。,parts[0]: 与 Qt 约定的下行关键字「SolveCurrentPosition」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length >= 2) { this.MountConfigItems.find(i => i.label === 'SolveCurrentPosition').value = false; if (parts[1] === 'succeeded') { const RA_Degree = parts[2]; const DEC_Degree = parts[3]; const RA_0 = parts[4]; const DEC_0 = par...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: SolveCurrentPosition:...
167,QT_Return_switch,addFwhmNow,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「addFwhmNow」。,"parts[0]: 与 Qt 约定的下行关键字「addFwhmNow」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length >= 2) { const fwhm = parseFloat(parts[1]); console.log('Received addFwhmNow:', fwhm); this.$bus.$emit('addFwhmNow', fwhm); } break;",向下游抛出 $bus 事件: addFwhmNow,,QT_Return message 建议: addFwhmNow:...
168,QT_Return_switch,Box_Space,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「Box_Space」。,"parts[0]: 与 Qt 约定的下行关键字「Box_Space」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端返回盒子可用空间（字节），转发给内存设置面板。 代码摘要：// 后端返回盒子可用空间（字节），转发给内存设置面板 if (parts.length === 2) { const bytes = parts[1]; this.$bus.$emit('Box_Space', bytes); if (bytes < 1024 * 1024 * 1024) { this.callShowMessageBox(this.$t('Box space is less than 1GB, please clear the cache'), '...",向下游抛出 $bus 事件: Box_Space；后端返回盒子可用空间（字节），转发给内存设置面板,,QT_Return message 建议: Box_Space:...
169,QT_Return_switch,ClearLogs,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ClearLogs」。,"parts[0]: 与 Qt 约定的下行关键字「ClearLogs」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端清理日志完成回执。 代码摘要：// 后端清理日志完成回执 if (parts.length >= 2 && parts[1] === 'Success') { this.SendConsoleLogMsg('Logs cleared successfully', 'info'); } break;",后端清理日志完成回执,,QT_Return message 建议: ClearLogs:...
170,QT_Return_switch,ClearBoxCache,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ClearBoxCache」。,"parts[0]: 与 Qt 约定的下行关键字「ClearBoxCache」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端清理缓存完成回执。 代码摘要：// 后端清理缓存完成回执 if (parts.length >= 2 && parts[1] === 'Success') { this.SendConsoleLogMsg('Box cache cleared successfully', 'info'); } break;",后端清理缓存完成回执,,QT_Return message 建议: ClearBoxCache:...
171,QT_Return_switch,FocuserLimit,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocuserLimit」。,parts[0]: 与 Qt 约定的下行关键字「FocuserLimit」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const FocuserMinLimit = parts[1]; const FocuserMaxLimit = parts[2]; let item = this.FocuserConfigItems.find(i => i.label === 'Min Limit'); if (item) { item.value = FocuserMinLimit; } else { this.FocuserConfigIte...,向下游抛出 $bus 事件: setFocusChartRange,,QT_Return message 建议: FocuserLimit:...
172,QT_Return_switch,FocuserRangeReset,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocuserRangeReset」。,"parts[0]: 与 Qt 约定的下行关键字「FocuserRangeReset」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：电调范围重置警告（当设备初始化时检测到本地保存的范围不合理）。 代码摘要：// 电调范围重置警告（当设备初始化时检测到本地保存的范围不合理） if (parts.length === 2) { const message = parts[1]; // 显示警告消息框 this.callShowMessageBox(this.$t('focuser.range_reset_warning', { message }), 'warning'); // 同时在控制台输出 this.SendConsoleLogMsg(this.$t('focuser...",电调范围重置警告（当设备初始化时检测到本地保存的范围不合理）,,QT_Return message 建议: FocuserRangeReset:...
173,QT_Return_switch,FocuserParameters,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocuserParameters」。,parts[0]: 与 Qt 约定的下行关键字「FocuserParameters」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端格式（兼容）:。 代码摘要：// 后端格式（兼容）: // - 旧: FocuserParameters:<minLimit>:<maxLimit>:<backlash>:<coarseDivisions> // - 新: FocuserParameters:<minLimit>:<maxLimit>:<backlash>:<coarseDivisions>:<stepsPerClick> if (parts.length === 5 || parts.length === 6) { const ...,向下游抛出 $bus 事件: setFocusChartRange、focusMoveStep；后端格式（兼容）:,,QT_Return message 建议: FocuserParameters:...
174,QT_Return_switch,Backlash,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「Backlash」。,parts[0]: 与 Qt 约定的下行关键字「Backlash」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: Backlash:...
175,QT_Return_switch,Coarse Step Divisions,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「Coarse Step Divisions」。,parts[0]: 与 Qt 约定的下行关键字「Coarse Step Divisions」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: Coarse Step Divisions:...
176,QT_Return_switch,updateAutoFocuserState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「updateAutoFocuserState」。,"parts[0]: 与 Qt 约定的下行关键字「updateAutoFocuserState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const autoFocusState = parts[1]; this.$bus.$emit('updateAutoFocuserState', autoFocusState == 'true'); // 更新自动对焦按钮状态 } break;",向下游抛出 $bus 事件: updateAutoFocuserState,,QT_Return message 建议: updateAutoFocuserState:...
177,QT_Return_switch,AutoFocusConfirm,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusConfirm」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusConfirm」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const question = parts[1]; console.log('AutoFocusConfirm:', question); this.ShowConfirmDialog('自动对焦', question, 'startAutoFocus'); } break;",[AUTO_FOCUS_UI_ENHANCEMENT],,QT_Return message 建议: AutoFocusConfirm:...
178,QT_Return_switch,AutoFocusStepChanged,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusStepChanged」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusStepChanged」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 3) { const step = parts[1]; const description = parts[2]; console.log('AutoFocusStepChanged:', step, description); this.$bus.$emit('UpdateAutoFocusStep', step, description); } break;",向下游抛出 $bus 事件: UpdateAutoFocusStep；[AUTO_FOCUS_UI_ENHANCEMENT],,QT_Return message 建议: AutoFocusStepChanged:...
179,QT_Return_switch,AutoFocusCancelled,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusCancelled」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusCancelled」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const reason = parts[1]; console.log('AutoFocusCancelled:', reason); this.callShowMessageBox(reason, 'info'); } break;",[AUTO_FOCUS_UI_ENHANCEMENT],,QT_Return message 建议: AutoFocusCancelled:...
180,QT_Return_switch,AutoFocusStarted,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusStarted」。,parts[0]: 与 Qt 约定的下行关键字「AutoFocusStarted」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { // 兼容旧格式：AutoFocusStarted:<message> // 新格式：AutoFocusStarted:<mode>:<message>，mode=full/fine let mode = 'full'; let message = ''; if (parts.length >= 3) { mode = parts[1] || 'full'; ...,向下游抛出 $bus 事件: StartAutoFocus；[AUTO_FOCUS_UI_ENHANCEMENT],,QT_Return message 建议: AutoFocusStarted:...
