序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
41,websocket_text_json,Vue_Command,AutoFocusConfirm:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,自动对焦确认：Fine → 仅从当前位置 HFR 精调（startAutoFocusFineHFROnly）,是,"frontend:src/components/gui.vue | Qt mainwindow.cpp | startsWith ""AutoFocusConfirm:""",sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支 | example: AutoFocusConfirm:Fine
42,websocket_text_json,Vue_Command,AutoFocusConfirm:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,自动对焦确认：No → 取消并 AutoFocusCancelled,是,"frontend:src/components/gui.vue | Qt mainwindow.cpp | startsWith ""AutoFocusConfirm:""",sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支 | example: AutoFocusConfirm:No
43,websocket_text_json,Vue_Command,AutoFocusConfirm:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,自动对焦确认：Yes → 同 Coarse 完整流程,是,"frontend:src/components/gui.vue | Qt mainwindow.cpp | startsWith ""AutoFocusConfirm:""",sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支 | example: AutoFocusConfirm:Yes
44,websocket_text_json,Vue_Command,Backlash:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: int，回差步数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,电调回差补偿（步），用于自动对焦；绑定 INDI 电调时持久化。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""Backlash""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""Backlash"" | example: Backlash:"
45,websocket_text_json,Vue_Command,BindingDevice:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string 设备类型; parts[2]: int 索引 | parts.size()==3。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,将某类设备槽位绑定到具体设备索引（设备分配面板）。,是,"frontend:src/components/DeviceAllocationPanel.vue | Qt mainwindow.cpp | parts[0]== ""BindingDevice""",sendMessage → src/components/DeviceAllocationPanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 3 BindingDevice:type:index → BindingDevice() | example: BindingDevice:
46,websocket_text_json,Vue_Command,CFWList:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string，槽位列表序列化串。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,保存滤镜轮槽位名称列表字符串，供 getCFWList 恢复。,是,"frontend:src/components/CapturePanel.vue | Qt mainwindow.cpp | parts[0]== ""CFWList""",sendMessage → src/components/CapturePanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""CFWList"" → Tools::saveCFWList | example: CFWList:"
47,websocket_text_json,Vue_Command,CS,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数（短命令）。 [与后端对照: 否],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,滤镜轮相关短命令（Settings-Dialog-CFW）。,否,frontend:src/components/Settings-Dialog-CFW.vue,sendMessage → src/components/Settings-Dialog-CFW.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；可能为历史协议或与其它消息合并使用 | example: CS
48,websocket_text_json,Vue_Command,CalcWhiteBalance,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数或带附加段（parts[0] 为命令名）。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,请求对白平衡进行采样/计算（主相机图像）。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""CalcWhiteBalance""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""CalcWhiteBalance"" | example: CalcWhiteBalance"
49,websocket_text_json,Vue_Command,CalibrationDuration:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string/数值，校准时长相关。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,导星校准时长等（与内置导星配置相关）；当前版本可能仅记录或忽略。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""CalibrationDuration""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 与 GuiderFocalLength 等一并：parts[0]==… 时 Log「PHD2 removed」忽略 | example: CalibrationDuration:
50,websocket_text_json,Vue_Command,CaptureImageSave,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,保存当前捕获图像到配置路径。,是,frontend:src/components/CapturePanel.vue,sendMessage → src/components/CapturePanel.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""CaptureImageSave"" → CaptureImageSave() | example: CaptureImageSave"
51,websocket_text_json,Vue_Command,CheckBoxSpace,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,查询/同步 UI 勾选框占用或空间信息（视图设置）。,是,"frontend:src/components/view-settings-dialog.vue | Qt mainwindow.cpp | parts[0]== ""CheckBoxSpace""",sendMessage → src/components/view-settings-dialog.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""CheckBoxSpace"" → getCheckBoxSpace() | example: CheckBoxSpace"
52,websocket_text_json,Vue_Command,ClearCalibrationData,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,清除内置导星校准缓存并下次强制重校。,是,frontend:src/components/Settings-Dialog-Guider.vue,sendMessage → src/components/Settings-Dialog-Guider.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 与 clearGuiderData、PHD2Recalibrate 同分支 → guiderCore->clearCachedCalibration | example: ClearCalibrationData
53,websocket_text_json,Vue_Command,ClearDataPoints,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,清除导星/曲线数据点（GUI）。,是,frontend:src/components/gui.vue,sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""ClearDataPoints"" | example: ClearDataPoints"
54,websocket_text_json,Vue_Command,ClearDownloadLinks:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,清除图像下载链接列表（图像管理器）。,是,"frontend:src/components/ImageManagerBrowser.vue | Qt mainwindow.cpp | parts[0]== ""ClearDownloadLinks""",sendMessage → src/components/ImageManagerBrowser.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ClearDownloadLinks"" | example: ClearDownloadLinks:"
55,websocket_text_json,Vue_Command,ClearIndiDriver,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,清空已选 INDI 驱动列表。,是,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""ClearIndiDriver"" → indi_Driver_Clear | example: ClearIndiDriver"
56,websocket_text_json,Vue_Command,ClearLogs,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,清空本地日志。,是,"frontend:src/components/view-settings-dialog.vue | Qt mainwindow.cpp | parts[0]== ""ClearLogs""",sendMessage → src/components/view-settings-dialog.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ClearLogs"" → clearLogs() | example: ClearLogs"
